Task ID,Supplier ID,Cost
30/05/2019,S1,0.478218801
30/05/2019,S2,0.444542925
30/05/2019,S3,0.521678711
30/05/2019,S4,0.307330783
30/05/2019,S5,0.357689236
30/05/2019,S6,0.351981627
30/05/2019,S7,0.303812759
30/05/2019,S8,0.325427028
30/05/2019,S9,0.359024189
30/05/2019,S10,0.331953294
30/05/2019,S11,0.334363115
30/05/2019,S12,0.313509448
30/05/2019,S13,0.309402542
30/05/2019,S14,0.320663187
30/05/2019,S15,0.307691824
30/05/2019,S16,0.426332415
30/05/2019,S17,0.349514163
30/05/2019,S18,0.326204875
30/05/2019,S19,0.316254226
30/05/2019,S20,0.431282745
30/05/2019,S21,0.421987773
30/05/2019,S22,0.355049042
30/05/2019,S23,0.343541015
30/05/2019,S24,0.2963877
30/05/2019,S25,0.400219975
30/05/2019,S26,0.419728601
30/05/2019,S27,0.317432209
30/05/2019,S28,0.329672552
30/05/2019,S29,0.313858096
30/05/2019,S30,0.345105076
30/05/2019,S31,0.343389844
30/05/2019,S32,0.30239373
30/05/2019,S33,0.326505659
30/05/2019,S34,0.313587125
30/05/2019,S35,0.33100742
30/05/2019,S36,0.48395599
30/05/2019,S37,0.352640297
30/05/2019,S38,0.365424411
30/05/2019,S39,0.328236005
30/05/2019,S40,0.293925416
30/05/2019,S41,0.314410173
30/05/2019,S42,0.348886636
30/05/2019,S43,0.327083634
30/05/2019,S44,0.372792553
30/05/2019,S45,0.344689021
30/05/2019,S46,0.320763314
30/05/2019,S47,0.309031462
30/05/2019,S48,0.355286043
30/05/2019,S49,0.323564526
30/05/2019,S50,0.341303673
30/05/2019,S51,0.324112936
30/05/2019,S52,0.343709742
30/05/2019,S53,0.33903925
30/05/2019,S54,0.315261793
30/05/2019,S55,0.359031181
30/05/2019,S56,0.302213243
30/05/2019,S57,0.290967292
30/05/2019,S58,0.399889412
30/05/2019,S59,0.371470401
30/05/2019,S60,0.460988074
30/05/2019,S61,0.334243068
30/05/2019,S62,0.362540361
30/05/2019,S63,0.326296037
30/05/2019,S64,0.332975212
26/09/2019,S1,0.407784155
26/09/2019,S2,0.390343434
26/09/2019,S3,0.389783227
26/09/2019,S4,0.297319669
26/09/2019,S5,0.324714287
26/09/2019,S6,0.304175263
26/09/2019,S7,0.311381819
26/09/2019,S8,0.299798408
26/09/2019,S9,0.307370479
26/09/2019,S10,0.327153207
26/09/2019,S11,0.332316226
26/09/2019,S12,0.324781244
26/09/2019,S13,0.310418909
26/09/2019,S14,0.28917233
26/09/2019,S15,0.324012422
26/09/2019,S16,0.321072441
26/09/2019,S17,0.315205492
26/09/2019,S18,0.307165426
26/09/2019,S19,0.283751545
26/09/2019,S20,0.313152659
26/09/2019,S21,0.321413135
26/09/2019,S22,0.313919324
26/09/2019,S23,0.330714098
26/09/2019,S24,0.32890593
26/09/2019,S25,0.312799473
26/09/2019,S26,0.34787376
26/09/2019,S27,0.308655054
26/09/2019,S28,0.323536541
26/09/2019,S29,0.324580012
26/09/2019,S30,0.28504317
26/09/2019,S31,0.317131204
26/09/2019,S32,0.299922861
26/09/2019,S33,0.3217844
26/09/2019,S34,0.315701676
26/09/2019,S35,0.307173978
26/09/2019,S36,0.345388449
26/09/2019,S37,0.306547939
26/09/2019,S38,0.301205131
26/09/2019,S39,0.312534125
26/09/2019,S40,0.30630658
26/09/2019,S41,0.313464404
26/09/2019,S42,0.317118148
26/09/2019,S43,0.294285788
26/09/2019,S44,0.306874993
26/09/2019,S45,0.308393559
26/09/2019,S46,0.33790862
26/09/2019,S47,0.331222292
26/09/2019,S48,0.317999713
26/09/2019,S49,0.293406062
26/09/2019,S50,0.31210048
26/09/2019,S51,0.330904678
26/09/2019,S52,0.322079687
26/09/2019,S53,0.33319374
26/09/2019,S54,0.310522218
26/09/2019,S55,0.327797209
26/09/2019,S56,0.31401774
26/09/2019,S57,0.292822944
26/09/2019,S58,0.310697184
26/09/2019,S59,0.29847631
26/09/2019,S60,0.332458128
26/09/2019,S61,0.307214421
26/09/2019,S62,0.293596418
26/09/2019,S63,0.309390481
26/09/2019,S64,0.307448587
29/11/2019,S1,0.437883961
29/11/2019,S2,0.495928266
29/11/2019,S3,0.433162798
29/11/2019,S4,0.354567587
29/11/2019,S5,0.347752388
29/11/2019,S6,0.305571215
29/11/2019,S7,0.367878998
29/11/2019,S8,0.344635371
29/11/2019,S9,0.409898902
29/11/2019,S10,0.379463361
29/11/2019,S11,0.309193588
29/11/2019,S12,0.302904668
29/11/2019,S13,0.305388131
29/11/2019,S14,0.354226427
29/11/2019,S15,0.313399313
29/11/2019,S16,0.328469467
29/11/2019,S17,0.358640168
29/11/2019,S18,0.359490288
29/11/2019,S19,0.323826983
29/11/2019,S20,0.376901808
29/11/2019,S21,0.411151429
29/11/2019,S22,0.326542586
29/11/2019,S23,0.441989264
29/11/2019,S24,0.314701058
29/11/2019,S25,0.339927828
29/11/2019,S26,0.4297257
29/11/2019,S27,0.340901554
29/11/2019,S28,0.421396759
29/11/2019,S29,0.422044394
29/11/2019,S30,0.326435011
29/11/2019,S31,0.359519899
29/11/2019,S32,0.338964501
29/11/2019,S33,0.407956039
29/11/2019,S34,0.340196794
29/11/2019,S35,0.3389294
29/11/2019,S36,0.36741254
29/11/2019,S37,0.312683605
29/11/2019,S38,0.370860583
29/11/2019,S39,0.301013685
29/11/2019,S40,0.298487824
29/11/2019,S41,0.368265366
29/11/2019,S42,0.32656836
29/11/2019,S43,0.375639919
29/11/2019,S44,0.390045396
29/11/2019,S45,0.339052215
29/11/2019,S46,0.28457495
29/11/2019,S47,0.304856613
29/11/2019,S48,0.422762288
29/11/2019,S49,0.365532727
29/11/2019,S50,0.342585724
29/11/2019,S51,0.301494177
29/11/2019,S52,0.371961663
29/11/2019,S53,0.315717063
29/11/2019,S54,0.314623731
29/11/2019,S55,0.379627054
29/11/2019,S56,0.308773637
29/11/2019,S57,0.333444468
29/11/2019,S58,0.431825993
29/11/2019,S59,0.369166319
29/11/2019,S60,0.302832256
29/11/2019,S61,0.433665566
29/11/2019,S62,0.36814039
29/11/2019,S63,0.358023867
29/11/2019,S64,0.341333161
03/01/2020,S1,0.473478804
03/01/2020,S2,0.514128952
03/01/2020,S3,0.475218379
03/01/2020,S4,0.372456527
03/01/2020,S5,0.355952397
03/01/2020,S6,0.331405893
03/01/2020,S7,0.373415391
03/01/2020,S8,0.374231652
03/01/2020,S9,0.387232412
03/01/2020,S10,0.347978113
03/01/2020,S11,0.335874037
03/01/2020,S12,0.346071658
03/01/2020,S13,0.339160045
03/01/2020,S14,0.357245419
03/01/2020,S15,0.342708437
03/01/2020,S16,0.385315319
03/01/2020,S17,0.36709907
03/01/2020,S18,0.377547798
03/01/2020,S19,0.366917662
