Task ID,Supplier ID,Cost
2019-05-30,S1,0.478218801
2019-05-30,S2,0.444542925
2019-05-30,S3,0.521678711
2019-05-30,S4,0.307330783
2019-05-30,S5,0.357689236
2019-05-30,S6,0.351981627
2019-05-30,S7,0.303812759
2019-05-30,S8,0.325427028
2019-05-30,S9,0.359024189
2019-05-30,S10,0.331953294
2019-05-30,S11,0.334363115
2019-05-30,S12,0.313509448
2019-05-30,S13,0.309402542
2019-05-30,S14,0.320663187
2019-05-30,S15,0.307691824
2019-05-30,S16,0.426332415
2019-05-30,S17,0.349514163
2019-05-30,S18,0.326204875
2019-05-30,S19,0.316254226
2019-05-30,S20,0.431282745
2019-05-30,S21,0.421987773
2019-05-30,S22,0.355049042
2019-05-30,S23,0.343541015
2019-05-30,S24,0.2963877
2019-05-30,S25,0.400219975
2019-05-30,S26,0.419728601
2019-05-30,S27,0.317432209
2019-05-30,S28,0.329672552
2019-05-30,S29,0.313858096
2019-05-30,S30,0.345105076
2019-05-30,S31,0.343389844
2019-05-30,S32,0.30239373
2019-05-30,S33,0.326505659
2019-05-30,S34,0.313587125
2019-05-30,S35,0.33100742
2019-05-30,S36,0.48395599
2019-05-30,S37,0.352640297
2019-05-30,S38,0.365424411
2019-05-30,S39,0.328236005
2019-05-30,S40,0.293925416
2019-05-30,S41,0.314410173
2019-05-30,S42,0.348886636
2019-05-30,S43,0.327083634
2019-05-30,S44,0.372792553
2019-05-30,S45,0.344689021
2019-05-30,S46,0.320763314
2019-05-30,S47,0.309031462
2019-05-30,S48,0.355286043
2019-05-30,S49,0.323564526
2019-05-30,S50,0.341303673
2019-05-30,S51,0.324112936
2019-05-30,S52,0.343709742
2019-05-30,S53,0.33903925
2019-05-30,S54,0.315261793
2019-05-30,S55,0.359031181
2019-05-30,S56,0.302213243
2019-05-30,S57,0.290967292
2019-05-30,S58,0.399889412
2019-05-30,S59,0.371470401
2019-05-30,S60,0.460988074
2019-05-30,S61,0.334243068
2019-05-30,S62,0.362540361
2019-05-30,S63,0.326296037
2019-05-30,S64,0.332975212
2019-09-26,S1,0.407784155
2019-09-26,S2,0.390343434
2019-09-26,S3,0.389783227
2019-09-26,S4,0.297319669
2019-09-26,S5,0.324714287
2019-09-26,S6,0.304175263
2019-09-26,S7,0.311381819
2019-09-26,S8,0.299798408
2019-09-26,S9,0.307370479
2019-09-26,S10,0.327153207
2019-09-26,S11,0.332316226
2019-09-26,S12,0.324781244
2019-09-26,S13,0.310418909
2019-09-26,S14,0.28917233
2019-09-26,S15,0.324012422
2019-09-26,S16,0.321072441
2019-09-26,S17,0.315205492
2019-09-26,S18,0.307165426
2019-09-26,S19,0.283751545
2019-09-26,S20,0.313152659
2019-09-26,S21,0.321413135
2019-09-26,S22,0.313919324
2019-09-26,S23,0.330714098
2019-09-26,S24,0.32890593
2019-09-26,S25,0.312799473
2019-09-26,S26,0.34787376
2019-09-26,S27,0.308655054
2019-09-26,S28,0.323536541
2019-09-26,S29,0.324580012
2019-09-26,S30,0.28504317
2019-09-26,S31,0.317131204
2019-09-26,S32,0.299922861
2019-09-26,S33,0.3217844
2019-09-26,S34,0.315701676
2019-09-26,S35,0.307173978
2019-09-26,S36,0.345388449
2019-09-26,S37,0.306547939
2019-09-26,S38,0.301205131
2019-09-26,S39,0.312534125
2019-09-26,S40,0.30630658
2019-09-26,S41,0.313464404
2019-09-26,S42,0.317118148
2019-09-26,S43,0.294285788
2019-09-26,S44,0.306874993
2019-09-26,S45,0.308393559
2019-09-26,S46,0.33790862
2019-09-26,S47,0.331222292
2019-09-26,S48,0.317999713
2019-09-26,S49,0.293406062
2019-09-26,S50,0.31210048
2019-09-26,S51,0.330904678
2019-09-26,S52,0.322079687
2019-09-26,S53,0.33319374
2019-09-26,S54,0.310522218
2019-09-26,S55,0.327797209
2019-09-26,S56,0.31401774
2019-09-26,S57,0.292822944
2019-09-26,S58,0.310697184
2019-09-26,S59,0.29847631
2019-09-26,S60,0.332458128
2019-09-26,S61,0.307214421
2019-09-26,S62,0.293596418
2019-09-26,S63,0.309390481
2019-09-26,S64,0.307448587
2019-11-29,S1,0.437883961
2019-11-29,S2,0.495928266
2019-11-29,S3,0.433162798
2019-11-29,S4,0.354567587
2019-11-29,S5,0.347752388
2019-11-29,S6,0.305571215
2019-11-29,S7,0.367878998
2019-11-29,S8,0.344635371
2019-11-29,S9,0.409898902
2019-11-29,S10,0.379463361
2019-11-29,S11,0.309193588
2019-11-29,S12,0.302904668
2019-11-29,S13,0.305388131
2019-11-29,S14,0.354226427
2019-11-29,S15,0.313399313
2019-11-29,S16,0.328469467
2019-11-29,S17,0.358640168
2019-11-29,S18,0.359490288
2019-11-29,S19,0.323826983
2019-11-29,S20,0.376901808
2019-11-29,S21,0.411151429
2019-11-29,S22,0.326542586
2019-11-29,S23,0.441989264
2019-11-29,S24,0.314701058
2019-11-29,S25,0.339927828
2019-11-29,S26,0.4297257
2019-11-29,S27,0.340901554
2019-11-29,S28,0.421396759
2019-11-29,S29,0.422044394
2019-11-29,S30,0.326435011
2019-11-29,S31,0.359519899
2019-11-29,S32,0.338964501
2019-11-29,S33,0.407956039
2019-11-29,S34,0.340196794
2019-11-29,S35,0.3389294
2019-11-29,S36,0.36741254
2019-11-29,S37,0.312683605
2019-11-29,S38,0.370860583
2019-11-29,S39,0.301013685
2019-11-29,S40,0.298487824
2019-11-29,S41,0.368265366
2019-11-29,S42,0.32656836
2019-11-29,S43,0.375639919
2019-11-29,S44,0.390045396
2019-11-29,S45,0.339052215
2019-11-29,S46,0.28457495
2019-11-29,S47,0.304856613
2019-11-29,S48,0.422762288
2019-11-29,S49,0.365532727
2019-11-29,S50,0.342585724
2019-11-29,S51,0.301494177
2019-11-29,S52,0.371961663
2019-11-29,S53,0.315717063
2019-11-29,S54,0.314623731
2019-11-29,S55,0.379627054
2019-11-29,S56,0.308773637
2019-11-29,S57,0.333444468
2019-11-29,S58,0.431825993
2019-11-29,S59,0.369166319
2019-11-29,S60,0.302832256
2019-11-29,S61,0.433665566
2019-11-29,S62,0.36814039
2019-11-29,S63,0.358023867
2019-11-29,S64,0.341333161
2020-01-03,S1,0.473478804
2020-01-03,S2,0.514128952
2020-01-03,S3,0.475218379
2020-01-03,S4,0.372456527
2020-01-03,S5,0.355952397
2020-01-03,S6,0.331405893
2020-01-03,S7,0.373415391
2020-01-03,S8,0.374231652
2020-01-03,S9,0.387232412
2020-01-03,S10,0.347978113
2020-01-03,S11,0.335874037
2020-01-03,S12,0.346071658
2020-01-03,S13,0.339160045
2020-01-03,S14,0.357245419
2020-01-03,S15,0.342708437
2020-01-03,S16,0.385315319
2020-01-03,S17,0.36709907
2020-01-03,S18,0.377547798
2020-01-03,S19,0.366917662
2020-01-03,S20,0.390801807
2020-01-03,S21,0.439388537
2020-01-03,S22,0.349861826
2020-01-03,S23,0.377084517
2020-01-03,S24,0.35341465
2020-01-03,S25,0.39947324
2020-01-03,S26,0.472076513
2020-01-03,S27,0.338183496
2020-01-03,S28,0.434207396
2020-01-03,S29,0.371808329
2020-01-03,S30,0.399447425
2020-01-03,S31,0.348579928
2020-01-03,S32,0.357527274
2020-01-03,S33,0.377012643
2020-01-03,S34,0.339967726
2020-01-03,S35,0.36884213
2020-01-03,S36,0.362492239
2020-01-03,S37,0.352311636
2020-01-03,S38,0.406976643
2020-01-03,S39,0.322107354
2020-01-03,S40,0.313468617
2020-01-03,S41,0.364527002
2020-01-03,S42,0.404345342
2020-01-03,S43,0.383481731
2020-01-03,S44,0.42680151
2020-01-03,S45,0.402898385
2020-01-03,S46,0.339452425
2020-01-03,S47,0.345141633
2020-01-03,S48,0.422937481
2020-01-03,S49,0.342381659
2020-01-03,S50,0.337885748
2020-01-03,S51,0.324424924
2020-01-03,S52,0.34106909
2020-01-03,S53,0.338345856
2020-01-03,S54,0.327156153
2020-01-03,S55,0.4581654
2020-01-03,S56,0.310394598
2020-01-03,S57,0.319264079
2020-01-03,S58,0.481521952
2020-01-03,S59,0.401964345
2020-01-03,S60,0.333921204
2020-01-03,S61,0.453957896
2020-01-03,S62,0.376677416
2020-01-03,S63,0.335122338
2020-01-03,S64,0.361674699
2020-01-07,S1,0.46602784
2020-01-07,S2,0.548083975
2020-01-07,S3,0.457024289
2020-01-07,S4,0.346182427
2020-01-07,S5,0.348770652
2020-01-07,S6,0.340765023
